id,text,label,mode
Ses05M_impro02_M001,"I know it's really crappy timing, but I don't have a choice.",sad,test
Ses05M_impro02_M007,"I don't have a choice.  I have to go.  If I don't go, they'll come and take me.",sad,test
Ses05M_impro02_F006,"No, we have- There's got to be something you can do.  You can't go.",frustrated,test
Ses05M_impro02_M008,I've tried everything.  I've called everyone I know.  I've tried everything. No one can do anything for me or they won't do anything for me.,frustrated,test
Ses05M_impro02_M010,I know.,sad,test
Ses05M_impro02_M011,I don't want to -- the kids.  You've got to take care of them.  You've got- you've got to-,sad,test
Ses05M_impro02_M012,"tell them about me and show them pictures of me and everything like that, because they are not going to see me for such a long time.  And it's such an important time and I just don't want to miss it.",sad,test
Ses05M_impro02_F009,There's got to be something we can do.  You can't just go.,frustrated,test
Ses05M_impro02_M013,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,sad,test
Ses05M_impro02_F010,Why don't we do that- Can we- Can we just leave the country?,frustrated,test
Ses05M_impro02_F012,What would be the worst that would happen if they found you somewhere else?,neutral,test
Ses05M_impro02_M017,"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.",frustrated,test
Ses05M_impro02_F013,"Well, they're so young.",sad,test
Ses05M_impro02_M018,I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,sad,test
Ses05M_impro02_M019,"I'm gonna be in Bagdad, just doing security.",sad,test
Ses05M_impro02_M021,I just want to be honest with you.  I don't want you to .,sad,test
Ses05M_impro02_M022,"but, it's gonna be fine.  I'm gonna be fine.  You know I'm good at this.  I can do this.  That's why I trained all this time.  I'm good at this.  Okay?",sad,test
Ses05M_impro02_M023,"I know.  I know.  I know.  But, you know what?  That doesn't mean it's gonna be me; does it?",sad,test
Ses05M_impro02_M024,No.  It doesn't.  And you can't think like that.,sad,test
Ses05M_impro02_M025,I don't want you to -- I know.  I know. You can't worry about me.  You've got to worry about the kids.  And you've got to take care of the kids for me.  Okay?  Take care of the kids for me; all right?,sad,test
Ses05M_impro02_F020,It's just so much.,sad,test
Ses05M_impro02_M027,"I'll miss you, baby.",sad,test
Ses05M_impro02_F021,[GARBAGE] You have to write me everyday.,sad,test
Ses05M_impro02_M028,"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?",sad,test
Ses05M_impro02_M029,yeah yeah yeah.,sad,test
Ses05M_impro02_M030,You you record every second.  You record every second because I want to see it all.  Okay?,excited,test
Ses05M_impro02_F023,okay.,sad,test
Ses05M_impro02_F024,[GARBAGE],sad,test
Ses05M_impro01_F000,Can I help you?,neutral,test
Ses05M_impro01_F001,"Oh, this- this form that you have is the wrong form.  You need to go over to the other line on the other side of the D.M.V..",neutral,test
Ses05M_impro01_F002,"Right, but this is the wrong form.  Somebody gave you the wrong form.",neutral,test
Ses05M_impro01_F003,"Yeah.  So, I can't -- I can't do anything-",neutral,test
Ses05M_impro01_F004,"No, but this is for um- replacements and you need a new -- whole new license as a California --",neutral,test
Ses05M_impro01_M004,What's the difference?  What's the difference between that form and this form?,frustrated,test
Ses05M_impro01_F005,"Sir, don't get an attitude with me.",frustrated,test
Ses05M_impro01_M005,"I'm not getting a -- well, you wait in this line and not get an attitude.",angry,test
Ses05M_impro01_F006,"No, I understand and there are a lot of people here.  But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did.",neutral,test
Ses05M_impro01_M008,"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?",frustrated,test
Ses05M_impro01_F007,I don't know.  I don't know who told you.  It wasn't me.,frustrated,test
Ses05M_impro01_M009,"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?",frustrated,test
Ses05M_impro01_F008,"You- You can ask her if you want, but she's busy and she probably won't answer you.",frustrated,test
Ses05M_impro01_F009,I know.,neutral,test
Ses05M_impro01_F010,"Sir, you- I mean",frustrated,test
Ses05M_impro01_M011,Do you know how long it's gonna take me to start all over and fill out the new form?,frustrated,test
Ses05M_impro01_F011,You can waist as much as you want,frustrated,test
Ses05M_impro01_F012,Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,neutral,test
Ses05M_impro01_M012,Might as well get started now? but Just take this one.,frustrated,test
Ses05M_impro01_F013,"I can't take this one, sir. this is the wrong form.",frustrated,test
Ses05M_impro01_M013,Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,frustrated,test
Ses05M_impro01_F014,"Sir, please don't waste my time.",frustrated,test
Ses05M_impro01_F015,There is nothing I can do about it.  You need to take this other form and fill it out and go stand in the other line.,frustrated,test
Ses05M_impro01_M014,"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?",frustrated,test
Ses05M_impro01_F016,"They're different forms, we process them all different-",frustrated,test
Ses05M_impro01_M015,"Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me.",angry,test
Ses05M_impro01_F017,I -- there's no way I'd make an exception.,frustrated,test
Ses05M_impro01_F018,"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form.",frustrated,test
Ses05M_impro01_M016,Shh...I know you've got the power to do that.,frustrated,test
Ses05M_impro01_F019,They're processed differently.,frustrated,test
Ses05M_impro01_M017,That's crap- You're crap.  I don't buy it.,frustrated,test
Ses05M_impro01_F020,"Sir, you're gonna have to go stand in the other line.",frustrated,test
Ses05M_impro01_M018,I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,frustrated,test
Ses05M_impro01_F021,I'm gonna- I'm gonna bring security over and have them escort you out.,angry,test
Ses05M_impro01_M019,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",frustrated,test
Ses05M_impro01_M020,That's just dumb.,frustrated,test
Ses05M_impro01_F022,But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,frustrated,test
Ses05M_impro01_M021,I filled out the wrong form because they made me fill out the wrong form!,frustrated,test
Ses05M_impro01_F023,"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.",angry,test
Ses05M_impro01_M022,"This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here.",frustrated,test
Ses03M_impro08a_M000,Hello.  This is Viacom Services.  How can I help you?,neutral,train&valid
Ses03M_impro08a_F000,"Hello?  God finally somebody, look, this is ridiculous.  I've been waiting online for like a half an hour now.",frustrated,train&valid
Ses03M_impro08a_M001,"I'm sorry ma'am, what can I help you with?",neutral,train&valid
Ses03M_impro08a_F001,"Look my, my phone isn't working.  I don't understand what's going on.  I am trying to call out.  I'm not receiving any calls",frustrated,train&valid
Ses03M_impro08a_F002,"and I need assistance with my...not only is my work phone, it's my home phone and look,",frustrated,train&valid
Ses03M_impro08a_F003,this is my business.  This is how I make money is through my phone.  It needs to be working.  Can you please help me?,frustrated,train&valid
Ses03M_impro08a_M002,Okay.  Can you give me the last four digits of your social security number so I can verify who I'm speaking with?,neutral,train&valid
Ses03M_impro08a_F004,two two six six.,neutral,train&valid
Ses03M_impro08a_M003,Okay.  And your name is?,neutral,train&valid
Ses03M_impro08a_F005,Olivia.,frustrated,train&valid
Ses03M_impro08a_M004,Olivia. Um. Okay.  So how long has this problem been?,neutral,train&valid
Ses03M_impro08a_F006,"This has been going on for the past two weeks.  I called every single day.  Nobody is helping me.  You guys tell me the same thing over and over, call again, call again, call again--",frustrated,train&valid
Ses03M_impro08a_M005,So what exactly is the problem?,neutral,train&valid
Ses03M_impro08a_F007,"I don't, I don't know what the problem is.  That's what I want you guys to...why is my service not turned on?  And I paid my bills on time.  I don't understand.",frustrated,train&valid
Ses03M_impro08a_M006,Um- I think part of it has to do with the network being down.  It's been having some trouble the last few weeks--,neutral,train&valid
Ses03M_impro08a_F008,"Okay.  Well that is, that is fine and all.  I don't care.  I really don't care because I want my phone to work that's all.",frustrated,train&valid
Ses03M_impro08a_F009,"That is I am paying you guys for service and I'm not getting any service.  I get, I get just dropped calls all the time and now it's completely not working at all.  I can't even call out, nine one one probably wouldn't even work.",frustrated,train&valid
Ses03M_impro08a_M007,I understand--we're not-,neutral,train&valid
Ses03M_impro08a_M008,No.  Okay.  We're not charging you for any of these months.  We're going to give you three months free.,neutral,train&valid
Ses03M_impro08a_F010,Well you better.  You better give me a whole freaking new phone that's what you better do.,frustrated,train&valid
Ses03M_impro08a_M009,We can give you a new phone--,neutral,train&valid
Ses03M_impro08a_F011,I want a camera phone actually.,frustrated,train&valid
Ses03M_impro08a_M010,We can do that.  We can do that.  You just have to sign a one-year contract though with the--,neutral,train&valid
Ses03M_impro08a_F012,"No, no, no...  I'm done with these contract business because this is what can happen.",frustrated,train&valid
Ses03M_impro08a_F013,"You sign the contract and then down the line the phone doesn't work and you're stuck, you can't go to a new...no.  No contracts for me.  You give me a new phone.",angry,train&valid
Ses03M_impro08a_M011,"Besides, it's sort of out of hands at the moment----The whole electrical power outage.",frustrated,train&valid
Ses03M_impro08a_F014,I want to talk to a supervisor,angry,train&valid
Ses03M_impro08a_F015,I would like to talk to your supervisor.  Obviously you're incompetent and don't understand what I'm asking.,angry,train&valid
Ses03M_impro08a_M012,"Um- Let me connect you to my supervisor.  Actually, he's out right now so I'm supervisor until he comes back. Um-",neutral,train&valid
Ses03M_impro08a_F016,What?,frustrated,train&valid
Ses03M_impro08a_M013,"So you could----speak with me some more, you could call back later on maybe.",neutral,train&valid
Ses03M_impro08a_F017,That's ridiculous.  You know?,frustrated,train&valid
Ses03M_impro08a_F018,"No I don't want to call back, you put me on hold for like hours and hours----and it's money, money, money, money and out of my pocket, out of my pocket--",frustrated,train&valid
Ses03M_impro08a_M014,I didn't put you on hold.,frustrated,train&valid
Ses03M_impro08a_M015,There are a lot of people calling us having problems.  Every phone company is having the same problems ma'am,frustrated,train&valid
Ses03M_impro08a_F019,Every phone...every single phone company?,frustrated,train&valid
Ses03M_impro08a_M016,"Mmm hmmm.  Mmm hmmm.  The power outages, everything, hurricane Katrina. Everything's really messed up.",neutral,train&valid
Ses03M_impro08a_F020,This is ridiculous.Well what are we supposed to do?  We starve then because I can't use my phone cause,angry,train&valid
Ses03M_impro08a_F021,"I am a realtor and this is my business.  People are calling me all the time but you know, and I don't have a land line.  I can't afford to have a land line",angry,train&valid
Ses03M_impro08a_M017,don't you-,neutral,train&valid
Ses03M_impro08a_M018,I'm really sorry ma'am.  There's not----a lot we can do for it.,neutral,train&valid
Ses03M_impro08a_F022,That you better be sorry.,angry,train&valid
Ses03M_impro08a_F023,Well you're not helping me at all.  God this is so frustrating.,frustrated,train&valid
Ses03M_impro08a_M019,"What I can do for you, if you want to make a call right now I could contact you through our computer.  I can call through my phone and you can speak through me.",neutral,train&valid
Ses03M_impro08a_F024,What?  No.  That's way too complicated.  Look--,frustrated,train&valid
Ses03M_impro08a_F025,you need to fix my phone.  I don't care what you have to do--,frustrated,train&valid
Ses03M_impro08a_M020,I'm sorry it has to do with an electrical power outage and stuff--,neutral,train&valid
Ses03M_impro08a_M021,"Well, okay I'm going to give you a free phone card that you can use at any payphone and that's on us. Okay?",neutral,train&valid
Ses03M_impro08a_F027,"Yeah yeah, woman going out in South Central on the payphone at night.  Oh that's real safe.",frustrated,train&valid
Ses03M_impro08a_M022,"I'm, I'm sorry you chose to live there um--",neutral,train&valid
Ses03M_impro08a_F028,"No, no, no.  I didn't choose to live here.  I work there.  Okay?  Yeah. work work work",frustrated,train&valid
Ses03M_impro08a_M023,Well I'm sure maybe there's a phone at work you could use.,neutral,train&valid
Ses03M_impro08a_F029,"We can't call out.  We can't make out-- line.  I don't work, I work at another office.",frustrated,train&valid
Ses03M_impro08a_F030,A law firm.  Thank you very much.,frustrated,train&valid
Ses03M_impro08a_M024,All right um--,neutral,train&valid
Ses03M_impro08a_F031,"I work out of my home as a realtor and because I don't have a land line, I need a phone and because of now I don't have one I don't know what to do.  And you're not helping me at all.",frustrated,train&valid
Ses03M_impro08a_F032,"In fact, give me your name sir, what's your name again?",frustrated,train&valid
Ses03M_impro08a_M025,My name is Sara.,neutral,train&valid
Ses03M_impro08a_F033,Okay.  Sara what?,frustrated,train&valid
Ses03M_impro08a_M026,Sara Brown.,neutral,train&valid
Ses03M_impro08a_F034,"Sara Brown.  Sara Brown, um- yeah, I'm going to get off the phone with you. And then I'm going to call back and I'm going to give your supervisor your name because you're obviously incompetent to work here.",frustrated,train&valid
Ses03M_impro08a_M027,"You know maam, we record this conversation so anything you say can be proven in a law of court so keep that in mind.",neutral,train&valid
Ses03M_impro08a_F035,"What are you, what are you a police officer now?  You know, like I'm done, I'm over it.  Goodbye and I hope that you lose your job.",frustrated,train&valid
Ses05M_impro07_M000,Guess what?,excited,test
Ses05M_impro07_F000,What?,excited,test
Ses05M_impro07_M001,I got it.  I got accepted to U.S.C..,excited,test
Ses05M_impro07_F001,"Oh, for real?",excited,test
Ses05M_impro07_M002,Yes! I just found out today.  I just got the letter.,excited,test
Ses05M_impro07_F003,"oh,I'm so glad.",excited,test
Ses05M_impro07_M003,I know. I know.  I'm so excited.,excited,test
Ses05M_impro07_F004,What are you gonna study?,happy,test
Ses05M_impro07_M004,"oh, Theater. yeah, yeah.",excited,test
Ses05M_impro07_F005,Really? Are you doing the M.F.A. program?,happy,test
Ses05M_impro07_M005,yes.,excited,test
Ses05M_impro07_M006,oh-,excited,test
Ses05M_impro07_F007,I heard it's so tough to get into.,happy,test
Ses05M_impro07_M007,It's exactly what I wanted.,excited,test
Ses05M_impro07_F008,That's awesome.,happy,test
Ses05M_impro07_M009,"I worked really hard, I'll say, I worked really hard. You know, I I'm not bragging or anything like that. But-",happy,test
Ses05M_impro07_F009,"Yeah, that's awesome.",excited,test
Ses05M_impro07_F010,No.,neutral,test
Ses05M_impro07_F011,"Uh huh.  Yes, seriously, for years.",excited,test
Ses05M_impro07_M011,"Finally.  I'm so excited.  We're gonna -- well, I'll be here.  We're still gonna be able to see each other.",excited,test
Ses05M_impro07_F012,I know.  I know.  I'm- I'm definitely -- I realize [LAUGHTER].,excited,test
Ses05M_impro07_M013,"What are you, wait, what are you doing?",excited,test
Ses05M_impro07_F013,"Um- I'm gonna be studying at U.S.C., too.",happy,test
Ses05M_impro07_M014,"Perfect!  Oh, my God.  Are you staying, are you going to live on campus?",excited,test
Ses05M_impro07_F015,Yeah.  Totally- Well where are you going to live?,excited,test
Ses05M_impro07_M016,We are gonna have a great time.,excited,test
Ses05M_impro07_M017,"[garbage] I'm going to live on campus.  I mean, well, around campus, anyway.  Yeah, housing around campus.",excited,test
Ses05M_impro07_F016,Oh yeah.,neutral,test
Ses05M_impro07_F017,Good tradeoff,neutral,test
Ses05M_impro07_M018,"I just want to be really close to things, you know.  I know it's not exactly the best neighborhood in the entire world. But uh-",excited,test
Ses05M_impro07_F018,I don't- I don't think it's that bad.,neutral,test
Ses05M_impro07_M019,"I don't- you know ,I feel the same way, you know what I mean.  And everybody says a lot of other crap you know, they don't know what they are talking about anyway.",excited,test
Ses05M_impro07_F019,yeah.,neutral,test
Ses05M_impro07_M020,"They don't live here.  They don't know, right?",excited,test
Ses05M_impro07_F020,"Yeah. I think it's really also if you- if you consider yourself like, us and them, kind of thing- If you think you're part of your community then --you going to like it more",neutral,test
Ses05M_impro07_M021,yeah.,excited,test
Ses05M_impro07_M022,Exactly.  You make it what you make it. You know? Right? And I'm gonna make it so freaking awesome.,excited,test
Ses05M_impro07_F021,"Right, Exactly.",excited,test
Ses05M_impro07_F022,Oh I'm so glad.,excited,test
Ses05M_impro07_M023,yeah.,excited,test
Ses05M_impro07_F023,"So when do you know, like, where you're gonna live? and-",happy,test
Ses05M_impro07_M024,"Well, I don't know.  I've got to go look for a place.",excited,test
Ses05M_impro07_F024,"Oh, wow.",neutral,test
Ses05M_impro07_M025,"Yeah, yeah.  I- I don't- I don't know.  Do you have any suggestions?",excited,test
Ses05M_impro07_F025,Um-,neutral,test
Ses05M_impro07_M026,You know the area better than I do.,excited,test
Ses05M_impro07_F026,"Yeah.  I mean, I know, I know, like the- the housing surrounding the campus pretty well.",neutral,test
Ses05M_impro07_F027,Um- How many people do you want to live with?,neutral,test
Ses05M_impro07_M028,"Not a lot.  I mean, I wouldn't want to live with more than three other people.  So, like four of us total, right?",excited,test
Ses05M_impro07_F028,All dudes?,neutral,test
Ses05M_impro07_M029,I don't care. I don't care.,excited,test
Ses05M_impro07_F029,Um- I think I have some friends.,neutral,test
Ses05M_impro07_M030,yeah?,excited,test
Ses05M_impro07_F030,yeah.,neutral,test
Ses05M_impro07_M031,That would be perfect.,excited,test
Ses05M_impro07_F031,"There's actually, a friend of mine is um- moving out of her place and her place is amazing-- And it's really cheap.",happy,test
Ses05M_impro07_M032,Really?,excited,test
Ses05M_impro07_M033,Really?,excited,test
Ses05M_impro07_F032,yeah.,neutral,test
Ses05M_impro07_M034,Cheap is exactly what I need- Because I have no money at all.,excited,test
Ses05M_impro07_F033,Okay.,neutral,test
Ses05M_impro07_M035,"But, uh--",excited,test
Ses05M_impro07_M036,"Loans, scholarships, I've got a lot of scholarships-- Yeah, yeah. I'm- I'm half Native American so I get all those scholarships, too. yeah.",excited,test
Ses05M_impro07_F035,"You've got a lot- oh, awesome.",happy,test
Ses05M_impro07_F036,Oh cool.,happy,test
Ses05M_impro07_M037,"So it comes Indian like. And you know I'm kind of smart, so.",excited,test
Ses05M_impro07_F037,Yeah.,excited,test
Ses05M_impro07_F038,totally.,neutral,test
Ses05M_impro07_F039,good for you.,happy,test
Ses05M_impro07_M039,"And yeah, well, I mean, basically I just applied for any and every possible scholarship and grant that could come by, so I can go.",happy,test
Ses05M_impro07_F040,the way to do it.,neutral,test
Ses05M_impro07_M040,"Yeah, yeah, yeah.  And it's gonna work out.  I'm gonna be able to pay for it, I'm gonna go, I mean, I'll have a little debt in the end.  But I don't care.",excited,test
Ses05M_impro07_F041,"Wow, are you so excited?",excited,test
Ses05M_impro07_M041,It's just you know a dream come true.  How could you not be excited about a dream come true?,excited,test
Ses05M_impro07_F042,"You're gonna be so busy, too. You're going to have to work so hard.",excited,test
Ses05M_impro07_M042,"Oh I know, I know.",excited,test
Ses05M_impro07_M043,"But I'm so looking forward to being so busy. You know what I mean?  It's the kind of busy you've got to love, right?",excited,test
Ses05M_impro07_M044,Because you're doing something you love.  That's the kind of busy you want.  I want to be able to do that for the rest of my life.  Be that kind of busy.,excited,test
Ses05M_impro07_F044,All right.  Wow.  So exciting.,excited,test
Ses05M_impro07_M045,I had to tell you right away.  I knew you'd be excited.,excited,test
Ses05M_impro07_M046,We'll have fun.,happy,test
Ses05M_impro07_F045,Yeah.  We'll have so much fun.,happy,test
Ses05M_impro07_M047,Great.  Okay.,excited,test
Ses05M_impro06_M000,I just got some bad news.,sad,test
Ses05M_impro06_M001,"My friend, Shotty, passed away.",sad,test
Ses05M_impro06_F002,"Oh, I'm so sorry",sad,test
Ses05M_impro06_M002,"The end, he's been sick for awhile.  He had cancer.",sad,test
Ses05M_impro06_F003,"Oh, my gosh.",sad,test
Ses05M_impro06_M003,"Yeah.  It's just, I never thought it would actually happen, you know? I mean- He's such a fighter and he's always so positive about everything.",sad,test
Ses05M_impro06_M004,"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --",sad,test
Ses05M_impro06_M005,"he wanted to travel, you know.  And he's so talented.  Probably the most talented person I have ever met in my entire life.",sad,test
Ses05M_impro06_F004,What did he do?,sad,test
Ses05M_impro06_M006,"He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --",sad,test
Ses05M_impro06_M007,"he just did everything.  He was literally, literally the most talented guy I have ever met in my entire life.",sad,test
Ses05M_impro06_M008,And he's gone now and I  -- I just can't believe it.,sad,test
Ses05M_impro06_F005,Yeah.  I'm so sorry.,sad,test
Ses05M_impro06_M009,"I mean, one second you think, you know, you're just having a conversation and then --",sad,test
Ses05M_impro06_M010,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time.",sad,test
Ses05M_impro06_F006,You guys have been-,sad,test
Ses05M_impro06_M011,"And now I don't have that person anymore, you know.  And it's -- -- it's just, you.",sad,test
Ses05M_impro06_M012,"You think that things get easier, you know, as you as you get older and you -",sad,test
Ses05M_impro06_M013,"and it just gets worse.  It just gets worse, everything is bad all the time; people die, your friends die, family dies, your best friends die. it's-",sad,test
Ses05M_impro06_F007,I'm sorry. I-,sad,test
Ses05M_impro06_M014,"You always think, you know when you were- you know when you were a little kid and you think something is gonna happen, like, it will all be better when I am older, you know?",sad,test
Ses05M_impro06_F008,"Wow, Ryan I know that you are hurting right now but I don't think you always feel like that.",sad,test
Ses05M_impro06_M017,"No, you're right.  I don't.  You're right.",sad,test
Ses05M_impro06_M018,"Even, yeah -- he doesn't he would never feel that way, he would never want me to feel that way.  Of course not, but that's just where I am right now and -- -- I don't know what else to do with it.",sad,test
Ses05M_impro06_F009,Yeah. I understand.  I think it's really healthy to grieve.,sad,test
Ses05M_impro06_M019,I just miss him.,sad,test
Ses05M_impro06_F010,If there's anything I can do to be there for you.,sad,test
Ses05M_impro06_M020,Thanks.,sad,test
Ses05M_impro05_M000,Hi. Um-  My luggage didn't come out of the conveyor thingy.,neutral,test
Ses05M_impro05_F000,Hmm. Hmm.,neutral,test
Ses05M_impro05_M001,"So, um, what do I do?",neutral,test
Ses05M_impro05_F001,How long ago was that?,neutral,test
Ses05M_impro05_M002,"Uh- Like, an hour and a half ago.  I talked to somebody who was standing out there and they said wait.  Sometimes like random butt- pieces come out late.",neutral,test
Ses05M_impro05_F002,Uh-Hmm.,neutral,test
Ses05M_impro05_M003,"And so I waited there, but nothing came.",neutral,test
Ses05M_impro05_F003,"Um, okay.  Well, you can fly- file a claim.  Where were you coming from?",neutral,test
Ses05M_impro05_M004,"I was coming from um the Midwest, like Iowa.",neutral,test
Ses05M_impro05_F004,"So, within the country, though? umm",neutral,test
Ses05M_impro05_M005,"Yeah, I know I was in the country.  I mean, it's not that complicated.",neutral,test
Ses05M_impro05_F005,"Yeah, well the chances of it being lost forever, you know, are slight because -- -- you were in the --",neutral,test
Ses05M_impro05_M006,"Well, I would hope so.",neutral,test
Ses05M_impro05_F006,"Well, I mean, you know that happens pretty often that sometimes baggage -- -- gets lost.",neutral,test
Ses05M_impro05_M007,People lose --,neutral,test
Ses05M_impro05_F007,yeah.,neutral,test
Ses05M_impro05_M009,"You know, this is actually, I mean it's -- it's a really important piece of luggage.",neutral,test
Ses05M_impro05_F008,Okay.,neutral,test
Ses05M_impro05_M010,"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything.",neutral,test
Ses05M_impro05_F009,Did you have insurance on your flight?,neutral,test
Ses05M_impro05_F010,"No, you have to buy it now.  It's like thirty dollar extra.",neutral,test
Ses05M_impro05_M012,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",frustrated,test
Ses05M_impro05_F011,"well, it's something that worth",neutral,test
Ses05M_impro05_F012,"yeah, I don't know.",neutral,test
